Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao PDR,,,,6.325823486,8.161973359,8.77232289,9.813602163,24.9943425,35.18019606,33.57410029,37.95044722,38.01673934,20.60946392,
Lebanon,3.047729609,3.388611011,8.236498901,24.11593587,2.950564941,2.290655258,2.700951336,2.521160938,2.188008533,2.8225451,7.609520855,2.354760951,,
Liberia,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,
St. Lucia,,,,,,8.167351265,8.518445421,6.26898307,4.558693322,6.42816144,4.569022939,14.33878777,10.54759421,
Latin America & Caribbean,,13.18938005,14.18103936,13.63249688,13.33883776,13.05001844,13.24806047,13.2585789,13.78605346,14.64920852,14.59217565,14.07281742,14.1812502,
Least developed countries: UN classification,,,,,,,,,6.270887847,9.386952579,,,,
Low income,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,
Sri Lanka,,1.877681285,0.979319729,1.130071585,1.035499522,0.950917409,1.039435459,0.954805671,0.891656314,0.943903946,1.019916604,,,
Lower middle income,,,,6.893718908,6.974087255,8.164173411,8.768434553,9.384084443,10.45628386,10.95194378,14.31807259,15.17886794,17.71314913,
Low & middle income,,17.40941448,20.45380442,19.86475211,18.16643679,19.12361765,19.84072944,19.77149709,20.88755395,20.76007253,21.38048957,21.69136109,22.47190495,
Lesotho,,,,,,,,,0.212663319,0.144839388,0.208562084,,,
Late-demographic dividend,21.38084166,18.85069923,23.8574648,23.75877751,21.57445506,21.33687672,21.88081725,22.14357464,23.693447,23.6871517,23.5546667,23.34148677,23.70245938,
Lithuania,11.50089448,11.83049038,10.6033404,11.25106392,10.61569361,11.03829888,11.02308516,11.13996319,12.78353834,12.64318504,12.58001735,12.10270948,12.03012759,12.03370448
Luxembourg,10.70993361,8.010868708,10.31988504,8.776426552,9.046388991,8.68040788,6.843410364,5.9724979,7.106325883,7.967048244,7.147935404,6.973223984,6.579096794,5.62089978
Latvia,7.50352085,7.452714623,8.755891101,8.451890709,9.470801178,11.40636947,15.4219758,17.72703908,18.92450337,17.24329818,17.71788063,20.57557838,17.24152126,20.61434343
"Macao SAR, China",2.781777505,3.471766495,7.036238353,,,,,0.163745238,,,,,,
St. Martin (French part),,,,,,,,,,,,,,
Morocco,,,,,,,,,3.703917011,3.744984772,3.863137661,4.0274618,4.89982035,
Monaco,,,,,,,,,,,,,,
Moldova,,,5.842389499,9.716681854,7.422116404,5.132546774,2.7667288,5.340283432,4.617075953,3.483887499,5.393474553,2.531574008,2.964391094,
Madagascar,1.082028332,0.721275582,1.720136328,1.214387924,9.729187777,0.455654597,0.472787127,0.637364472,0.256953832,0.768859294,0.50394209,0.395051888,0.366303746,
Maldives,,,,,,,,,,0.025307379,0.14397589,,,
Middle East & North Africa,,,,,3.722298244,3.661080123,3.292398906,5.210548701,5.163468655,3.928405244,3.838339552,4.24804236,4.69929172,
Mexico,,20.59007077,22.7121634,22.16713495,21.16782362,21.39471669,20.52990051,20.21722101,19.59355182,20.6431722,21.18307543,20.90818155,20.42305256,
Marshall Islands,,,,,,,,,,,,,,
Middle income,,17.5103825,20.47427821,19.96027999,18.22508389,19.16486687,19.89129664,19.82731316,20.95210175,20.85152848,21.46713373,21.76545227,22.49340972,
North Macedonia,0.902080461,1.291531138,3.164569027,3.556675518,4.110183411,4.070492672,3.782498779,3.296017976,3.369131035,2.081807154,3.981615625,4.049079845,4.222575404,4.181045551
Mali,,3.209588926,,4.48315327,4.391430312,2.256469332,,,,6.499346633,1.244275184,,,
Malta,53.04066925,50.4457335,48.03183702,47.17772341,47.51594083,46.09225956,38.75162471,34.75993281,30.84408021,22.28324593,30.61758572,33.15521866,29.78167614,
Myanmar,,,,0.002681273,0.201949575,1.013571984,0.268343897,0.627031527,0.469787769,7.533836716,6.028703119,,,
Middle East & North Africa (excluding high income),,,,,3.125160892,,,,2.073340258,2.12397831,2.237056147,,,
Montenegro,,9.032367604,23.56673331,10.34142913,8.253606497,10.78467825,7.904502907,14.61958358,12.76544024,5.564621508,4.237936321,3.153848877,,
Mongolia,7.70594784,,,,,,16.2910692,19.61596997,4.164654231,16.48462057,3.467945584,4.99382363,18.94402064,
Northern Mariana Islands,,,,,,,,,,,,,,
Mozambique,,,,,,24.74088768,13.86739731,5.716550982,,1.672105927,11.85475211,5.648433095,,
Mauritania,,,,,,,,,,0.002046525,,,0.013144802,
Mauritius,,7.475826284,2.007739291,0.693280217,0.800067383,0.929231407,0.575721791,0.029877141,0.114088195,0.108502819,2.38541138,2.597958798,2.143742448,
Malawi,,2.40727263,3.701807164,2.206416545,15.65687989,2.1113888,11.45701603,4.072816594,2.424888902,19.90866934,11.50193677,2.91470139,7.255989392,
Malaysia,,,50.87170719,49.311854,47.22455138,47.50221331,48.47126951,49.22759301,48.48811605,49.07043436,51.1311255,53.27388875,51.84896235,
North America,26.77530158,25.82120758,23.54891621,21.56248757,19.76027038,19.6246072,19.58419294,19.74104567,20.58172086,21.28499109,18.6623665,18.19050552,18.48198404,19.75239403
Namibia,5.422914474,1.142609886,1.631672893,1.969243707,1.825752639,5.367871807,2.792034787,3.64693311,0.439232074,2.225346267,0.181794602,0.219642271,0.236883641,0.477053022
New Caledonia,,0.660733754,8.559208201,0.895989491,15.44593369,10.75819123,14.03023306,13.15387719,5.26729582,,,,,
Niger,,,17.39210839,8.046536185,5.821426333,13.19646582,57.68815982,60.29985291,15.86162384,2.979382799,8.089111448,2.968477835,,
Nigeria,,,2.977161375,1.1028981,1.275536163,1.978077378,3.059587189,2.265712058,12.26259782,2.351026085,2.330351742,1.928170245,1.482401172,
Nicaragua,4.739661513,0.947223752,5.902934562,5.383435505,6.711652811,0.262801732,0.395542695,0.468464212,0.583114218,0.798709505,0.599501197,0.676881793,1.062570506,
Netherlands,29.05965089,26.04180995,28.03612894,27.88421381,25.23701609,25.51466221,24.74114286,24.62600197,24.10412588,24.03992027,23.03818505,22.5333026,23.06481147,
Norway,17.98035963,18.66944909,19.82107045,20.46978257,21.60056309,21.16410897,21.06368047,22.37551714,22.33312634,21.01214131,21.63350708,21.26694101,22.61836249,
Nepal,,,0.428628768,0.686184554,0.415308031,0.136727857,0.321841421,0.719637884,0.635275668,0.822554461,1.18426055,,,
Nauru,,,,,,,,,,,,,,
New Zealand,10.04213008,9.320599162,9.910354633,9.670709553,9.992060147,10.08248858,10.72641037,9.915461821,10.11574406,10.88208003,9.259377698,9.847063813,9.865713421,10.14497575
OECD members,19.12140705,18.71273414,19.52312516,19.48310415,18.56236774,18.46766911,18.91491384,18.53917616,19.19909767,19.5159504,17.7320549,17.53626449,17.82528967,
Oman,,,,,,3.393229717,3.443912015,4.36109407,3.243235719,1.521005565,1.116738628,1.258040481,,
Other small states,,,12.03592965,,8.924364765,6.675499258,6.081304113,6.277743001,9.568989148,7.180810722,8.417775487,7.38184187,8.851060344,
Pakistan,,1.924735018,1.767061423,1.728023545,1.844092524,1.725331234,1.924888898,1.448112842,1.610357677,1.957391636,2.176368742,2.169894282,2.302693347,1.887812516
Panama,,1.234267169,1.373899883,0.826045658,36.20956289,12.75313801,14.39693276,6.133474503,6.074324355,9.189359908,13.70781231,,,
Peru,,2.950094033,3.728640053,6.967140396,6.542262163,3.82556958,4.109467411,4.252188305,5.414344428,4.815734487,5.139985364,4.681209312,4.078138711,
Philippines,,,,,,,,,,,60.31752511,61.34579397,62.24658142,
Palau,,,,,,,,20.28263822,41.21994309,60.45686096,26.82768045,51.68388214,,
Papua New Guinea,,,,,23.76377845,4.456405985,,,,,,,,
Poland,3.77680596,5.231002996,7.080921811,7.717129655,6.6196263,7.897692808,8.860413634,10.259811,11.02081018,11.02917726,10.90769366,10.62125694,10.11288296,
Pre-demographic dividend,,,,,,,,,,7.249111424,,,,
Puerto Rico,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,
Portugal,8.60303056,8.237526819,4.795556968,4.073176313,4.132772909,4.492890955,4.700111953,4.882511536,5.081193949,5.805325286,5.988083215,5.283888297,6.942215276,7.083804714
Paraguay,6.963560243,9.599998649,12.03393609,8.629719206,10.0073322,8.838164028,8.626709271,6.803182932,6.03842113,7.636267773,6.431356166,9.735859905,7.182844204,
West Bank and Gaza,0.068595177,0.185536046,0.13035021,0.355480921,0.208594532,0.316657811,0.094799442,0.234222699,0.961927863,0.717403679,0.615204111,0.850022139,0.903315387,
Pacific island small states,,,4.450770396,3.828008249,3.942230712,,,3.415374102,4.078601335,5.146729728,3.884328078,5.006280743,19.86474139,
Post-demographic dividend,20.67854776,20.48448647,21.56623653,22.08760519,20.23773871,20.03508248,20.4153519,19.77192251,20.46105651,20.61223235,21.22414081,21.25468576,21.63383754,
French Polynesia,,,9.274124228,5.000212961,17.73558079,2.598981554,7.925036654,15.56429988,11.82096296,,,,,
Qatar,,,0.027080653,,0.005507629,0.002334602,0.000580959,0.049124708,5.196289125,0.001132908,0.00550624,1.798843102,0.002503856,
Romania,4.414387793,6.922149054,10.37230763,12.52827031,11.63583967,8.179880332,7.398175906,8.413356782,9.418182646,10.39244372,9.779693695,10.07741425,11.07256524,
Russian Federation,7.238133301,7.03333404,9.715599939,9.563299463,8.505657796,9.159842813,10.73281474,12.18386152,16.08198979,15.86382199,12.44106826,11.43970467,13.00276494,
Rwanda,,,31.24967038,7.117718759,13.72529281,5.085104054,4.997348615,11.85598974,15.32509324,13.53127924,2.661184338,2.571565367,10.55160075,
South Asia,,,8.360391493,6.937177599,6.947837763,6.816393752,7.78877275,8.471228041,6.865746724,7.063714222,6.857583095,8.736968496,9.894824409,
Saudi Arabia,0.684451151,0.778048813,1.095950717,0.750807804,0.590662976,0.661180465,0.712561212,0.590576497,0.787293711,1.304857803,0.734713746,0.543860569,0.648362934,
Sudan,,0.102384311,32.74875339,0.202906282,1.383892849,,,,,,,,,
Senegal,,5.810153022,13.63292697,1.862569172,0.895733605,0.862200758,1.480066987,1.824324499,3.749574829,2.71866597,2.162913757,2.809059816,0.935341144,
Singapore,48.52859221,52.75668997,50.93045884,52.37193121,47.77568771,48.51652374,50.46861735,50.86894859,52.43906167,52.49432279,53.22024204,51.75669967,52.12820793,
Solomon Islands,,,,,,,,,2.799395181,1.742905012,1.0224634,1.359223255,,
Sierra Leone,,,,,,,,0.008480894,0.006537046,0.001261473,0.064879818,0.735508192,,
El Salvador,6.316909676,5.891204912,6.469407478,7.323011419,6.635779953,6.007837882,5.655348284,5.652586069,4.982968822,5.373189235,5.736899848,6.127901676,5.119151008,6.386698736
San Marino,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,
Serbia,4.545214644,,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),,,,3.523868636,4.203991035,5.036336956,4.780345061,4.984126068,7.878023955,6.290584126,6.418642235,4.566857856,3.878423608,
South Sudan,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,3.523868636,4.203991035,5.036336956,4.802119599,4.98710593,7.878867715,6.280392685,6.595596795,4.569385009,3.870510316,
Small states,,,11.33783653,,8.823351974,6.551868116,6.007252582,6.2207774,9.3304764,7.026542569,8.219945189,7.249477666,,
Sao Tome and Principe,,,,,2.001836969,14.54785828,14.51788571,1.38764213,46.95713857,68.14284925,34.66415585,45.96726967,17.03026394,
Suriname,,,,14.22401616,6.935176211,25.08869068,10.88441202,14.93506503,10.81283568,20.03224728,10.27714639,5.821902288,12.52179912,
Slovak Republic,5.392435084,5.085142922,6.356168205,7.354641744,7.523075635,9.577895165,11.02396828,11.14764922,11.15859177,10.75113426,11.76540286,10.63636485,9.912570585,
Slovenia,5.685398149,6.483709635,6.847766281,6.08031907,6.217701465,6.663193774,6.73855967,6.417225503,7.025375595,7.151213694,6.509791222,6.825121199,7.354029839,
Sweden,16.87960968,17.35715,18.8582209,19.68053311,18.78196492,18.03573508,18.03452882,17.99858922,18.09032289,18.27160547,15.40393423,14.37504015,,
Eswatini,,0.349978057,0.274186678,0.23130849,0.076379794,0.065735529,0.097260248,0.081342713,0.232643859,0.199860512,0.29324389,0.924127066,0.274638735,
Sint Maarten (Dutch part),,,,,,,,,,,,,,
Seychelles,,,,,,,10.88018219,5.862670478,8.107838676,3.738239991,49.63209016,5.243567539,2.19832182,
Syrian Arab Republic,,1.881492192,1.572221094,1.507287506,,,,,,,,,,
Turks and Caicos Islands,,,,,2.100620439,2.19852999,,,,,,,,
Chad,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),29.7152629,28.0724465,32.56867663,30.703915,29.07292924,29.66243906,30.3757652,29.16046214,29.86545371,29.85603143,31.56870931,32.12342532,31.68634888,
Europe & Central Asia (IDA & IBRD countries),5.382168714,5.522088495,8.60291743,9.273660759,7.872293324,8.806537734,10.31162256,10.99037422,12.13293528,11.2226578,9.744084994,9.363865718,10.39560205,
Togo,,0.039613626,0.076542176,0.048432554,0.302255197,0.171441645,0.220281691,0.154375376,0.430004083,0.09980307,0.74055702,0.266495429,0.147649582,
Thailand,27.89899842,26.34128517,27.5067049,26.29237293,22.71110277,22.84198202,22.14121394,22.68617529,23.94521256,24.1869014,25.12417341,23.72269295,23.61064719,
Tajikistan,,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),,13.18938005,14.26960855,13.69893041,13.35187661,13.05260209,13.26295831,13.27005047,13.80481556,14.72680244,14.63624205,14.13732055,14.18218774,
Timor-Leste,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),,,,,3.141284955,,,,2.083907096,2.136939012,2.252229846,,,
Tonga,,,1.09134111,0.038762918,0.07884325,6.630684691,5.973503093,2.696506088,,,,,,
South Asia (IDA & IBRD),,,8.360391493,6.937177599,6.947837763,6.816393752,7.78877275,8.471228041,6.865746724,7.063714222,6.857583095,8.736968496,9.894824409,
Sub-Saharan Africa (IDA & IBRD countries),,,,3.523868636,4.203991035,5.036336956,4.802119599,4.98710593,7.878867715,6.280392685,6.595596795,4.569385009,3.870510316,
Trinidad and Tobago,1.604635611,0.774398407,0.259351813,0.092252728,0.123158048,0.762964138,0.181789479,0.136127589,0.137844786,,,,,
Tunisia,,5.606503597,6.85508417,8.006293808,8.326128465,7.057662263,6.458873599,6.765407908,7.785447378,7.930065621,7.389962485,6.797048517,6.885865649,
Turkey,2.172191965,1.857103725,2.023809682,2.200943062,2.115045777,2.164143057,3.277001678,3.557398907,3.610654636,3.197307947,3.402770225,2.816013916,3.043544219,
Tuvalu,,,,,,,,,,,,,,
Tanzania,,2.23014988,3.482623806,3.866558456,5.902994821,11.34277516,6.714585786,3.384020409,0.853175014,2.319270394,2.559571657,6.891609053,,
Uganda,,1.48889549,1.305182037,2.570754844,22.55284519,21.88364964,2.107997372,2.678430137,2.297024304,2.046649447,2.053875668,3.530151591,,2.102593394
Ukraine,,,,,5.069675872,7.033270678,6.853414779,7.691961601,8.7462997,7.409918601,6.438007168,5.578933779,,
Upper middle income,20.14035346,18.8437929,23.286315,23.38084047,21.70406952,22.16416293,23.08414796,22.69438978,23.95490213,23.7939695,23.79597435,23.77404197,23.81373624,
Uruguay,3.678288222,5.328904091,6.360343323,7.260326909,6.697487371,9.903988677,9.228398711,8.553454711,14.74248759,10.59605342,8.491142633,7.621977974,8.191826777,
United States,30.37322923,28.85784981,24.86777418,23.001461,20.98457948,20.55940432,20.52684609,20.86079735,21.75986712,22.72374714,19.5199017,18.74174054,18.93354799,19.75239403
Uzbekistan,,,,,,,,,,,1.611452236,0.464918974,0.725248058,1.56866082
St. Vincent and the Grenadines,,,0.819113296,0.155865233,0.026135304,0.050756063,0.214005,0.046039138,,0.003988753,0.000819764,0.001089288,9.926151019,
"Venezuela, RB",,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,
Vietnam,,8.829579032,10.52367722,13.12845176,18.81052406,27.16079684,33.59562197,32.05589553,36.36841281,38.05584795,41.73807003,40.75124077,40.43606065,
Vanuatu,,,,,,,,,,,,,,
World,20.41333844,19.50288755,21.18521857,20.75814753,18.90346904,18.84500251,19.1850749,18.9765514,19.95435884,20.05007829,20.52726782,20.52669011,21.04089828,
Samoa,,,0.573530825,1.270792386,1.030545546,0.301258665,0.695837344,1.976740084,0.814942122,1.018478814,1.394586109,3.095229539,2.279035222,
Kosovo,,,,,,,,,,,,,,
"Yemen, Rep.",,,0.579934003,0.572957491,0.665766124,0.673180158,3.301955175,1.450963852,8.016892182,,,,,
South Africa,5.954104058,5.482520236,5.915976686,6.23054382,6.20210557,6.685170637,6.524672378,6.662134573,7.420193549,6.657803321,5.679586456,5.287441295,4.894529683,5.628044981
Zambia,,1.437535833,1.456437465,0.756216108,1.735641026,3.97659305,2.248590388,1.69861411,6.786930823,27.41333278,4.109835547,2.002261683,2.313785373,1.366546222
Zimbabwe,,14.36418329,2.794786,1.950834496,2.781006711,6.219149744,2.952924567,1.464182709,3.28237683,5.168145724,2.591861149,2.065818145,4.954689112,
