Year,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
2012,Namibia,5.2,6.79,13.26,14.72,7.54,64.98,1.54
2012,Mexico,5.17,7.04,6.99,14.2,14.31,70.77,1.41
2012,Canada,5.14,5.6,6.14,17.87,16.28,38.59,2.59
2012,Jamaica,5.13,15.8,19.59,6.33,5.11,67.73,1.48
2012,United Arab Emirates,4.88,8.54,10.18,11.71,9.82,53.79,1.86
2012,Fiji,4.78,15.47,16.84,6.46,5.94,48.02,2.08
2012,Puerto Rico,4.72,6.38,9.16,15.67,10.91,39.68,2.52
2012,Malaysia,4.6,6.36,4.91,15.73,20.35,36.28,2.76
2012,Iceland,4.16,8.97,7.4,11.15,13.52,63.82,1.57
2012,Bahrain,3.98,15.29,14.17,6.54,7.06,39.98,2.5
2012,Nicaragua,3.75,10.88,13.3,9.19,7.52,43.43,2.3
2012,Saudi Arabia,3.53,5.84,6.12,17.12,16.34,32.22,3.1
2012,South Africa,3.17,9.48,9.26,10.55,10.8,34.8,2.87
2013,Georgia,40.64,2.35,2.01,42.51,49.87,571.3,0.18
2013,Cambodia,35.94,2.7,2.95,37.1,33.87,445.13,0.22
2013,Singapore,25.38,3.61,4,27.68,24.98,162.85,0.61
2013,China,25,3.43,3.42,29.19,29.26,214.93,0.47
2013,Indonesia,24.76,5.37,3.5,18.61,28.59,267.29,0.37
2013,Belarus,24.17,4,4.17,25.02,24.01,568.48,0.18
2013,Hong Kong,23.65,2.86,3.42,34.93,29.26,150.36,0.67
2013,Mauritius,23.38,3.07,2.25,32.55,44.52,243.52,0.41
2013,Venezuela,23.23,8.39,7.48,11.92,13.37,356.82,0.28
2013,Ghana,22.92,7.72,6.29,12.96,15.9,577.01,0.17
2013,Syria,22.9,5.05,8.34,19.81,11.99,247.26,0.4
2013,Azerbaijan,20.95,7.78,11.25,12.86,8.89,210.31,0.48
2013,Morocco,19.83,5.03,5.68,19.9,17.62,199.02,0.5
2013,Nepal,19.79,1.44,2.07,69.51,48.33,229.23,0.44
2013,Moldova,18.84,4.9,5.54,20.43,18.06,272.97,0.37
2013,Lebanon,18.41,4.25,5.33,23.53,18.76,158.31,0.63
2013,Pakistan,18.34,3.32,3.67,30.12,27.24,318.58,0.31
2013,Thailand,17.67,5.62,4.45,17.79,22.49,151.88,0.66
2013,Serbia,17.4,3.15,3.46,31.76,28.94,174.6,0.57
2013,North Macedonia,17.25,3.34,3.61,29.9,27.68,199.78,0.5
2013,Algeria,17.18,2.38,2.67,42.05,37.51,159.84,0.63
2013,Philippines,16.35,5.13,4.03,19.5,24.79,202.55,0.49
2013,Ukraine,15.52,5.52,5.31,18.13,18.82,273.26,0.37
2013,Iran,15.51,5.35,6.17,18.68,16.2,287.33,0.35
2013,Taiwan,15.51,1.59,6.59,62.83,15.17,94.18,1.06
2013,Montenegro,15.12,3.03,3.71,33.02,26.96,163.3,0.61
2013,Albania,15.04,3.27,5.64,30.56,17.73,145.38,0.69
2013,Colombia,14.89,4.83,4.93,20.72,20.27,196.69,0.51
2013,Ethiopia,14.47,22.69,12.89,4.41,7.76,179.27,0.56
2013,Romania,14.33,4.82,4.66,20.74,21.48,143.87,0.7
2013,Vietnam,13.77,8.17,8.49,12.24,11.77,205.55,0.49
2013,Lithuania,13.67,3.82,3.94,26.19,25.37,117.52,0.85
2013,Brazil,13.33,4.8,4.95,20.83,20.22,157.06,0.64
2013,Ecuador,13.33,7.59,6.93,13.17,14.43,143.96,0.69
2013,Sri Lanka,13.05,9.01,4.25,11.1,23.55,161.63,0.62
2013,Peru,13.04,4.16,4.85,24.05,20.6,145.9,0.69
2013,Croatia,13,2.95,2.88,33.87,34.77,120.95,0.83
2013,Poland,13,3.95,4.82,25.29,20.74,111.76,0.89
2013,Kazakhstan,12.81,7.81,8.38,12.81,11.93,199.64,0.5
2013,Italy,12.59,3.05,3.83,32.74,26.12,99.7,1
2013,Tunisia,12.22,4.04,7.62,24.77,13.12,136.71,0.73
2013,Slovenia,12.1,3.81,3.87,26.25,25.82,100.88,0.99
2013,Russia,12,6.55,6.43,15.28,15.55,168.71,0.59
2013,Nigeria,11.8,4.14,6.64,24.18,15.07,224.09,0.45
2013,Bosnia And Herzegovina,11.7,2.69,3.31,37.17,30.24,108.83,0.92
2013,Greece,11.56,3.16,3.51,31.61,28.49,91.57,1.09
2013,Uruguay,11.54,6.9,5.68,14.5,17.59,148.39,0.67
2013,Trinidad And Tobago,11.53,8.43,5.3,11.87,18.88,120.03,0.83
2013,South Korea,11.52,2.22,2.71,45.09,36.85,91.22,1.1
2013,Egypt,11.16,6.3,7.17,15.88,13.95,124.84,0.8
2013,Bangladesh,11.11,4.44,4.16,22.53,24.04,185.44,0.54
2013,Dominican Republic,11.04,6.62,7.73,15.1,12.93,184.27,0.54
2013,Iraq,10.75,7.72,7.48,12.95,13.36,189.22,0.53
2013,Hungary,10.71,3.89,4.08,25.72,24.51,107.54,0.93
2013,Czech Republic,10.33,4.67,4.46,21.43,22.41,75.11,1.33
2013,Israel,10.32,3.91,4.11,25.61,24.31,75.01,1.33
2013,Panama,10.31,10.18,9.51,9.83,10.52,88.66,1.13
2013,Argentina,10.23,4.51,5.35,22.19,18.71,208.58,0.48
2013,Bulgaria,10.22,5.44,5.6,18.38,17.86,102.61,0.97
2013,Latvia,10,5.09,4.58,19.64,21.83,72.72,1.38
2013,India,9.96,3.18,3.58,31.49,27.9,123.35,0.81
2013,Spain,9.45,3.38,4.31,29.62,23.21,68.71,1.46
2013,Kenya,9.42,7.12,7.27,14.04,13.76,165.75,0.6
2013,Finland,9.38,3.32,4.04,30.11,24.77,59.61,1.68
2013,Estonia,9.26,4.46,4.5,22.43,22.22,61.62,1.62
2013,Chile,9.25,5.44,4.82,18.4,20.75,79.52,1.26
2013,Bolivia,8.77,6.75,5.97,14.81,16.74,81.59,1.23
2013,Jordan,8.54,7.57,6.13,13.2,16.3,87.34,1.14
2013,Austria,8.46,3.76,4.58,26.63,21.83,61.49,1.63
2013,Sweden,8.44,2.68,3.67,37.33,27.25,61.22,1.63
2013,France,8.38,3.44,4.04,29.1,24.75,60.9,1.64
2013,Australia,8.12,4.64,5.31,21.53,18.84,74.43,1.34
2013,Portugal,8.01,6.11,6.6,16.37,15.15,58.27,1.72
2013,Slovakia,7.86,8.24,6.33,12.14,15.8,62.22,1.61
2013,Malta,7.34,3.2,5.24,31.28,19.08,51.11,1.96
2013,Norway,7.15,4.58,4.86,21.84,20.57,51.97,1.92
2013,Japan,6.99,4.75,5.85,21.07,17.1,42.42,2.36
2013,Denmark,6.97,4.02,4.45,24.89,22.49,49.42,2.02
2013,Belgium,6.75,5.15,4.49,19.4,22.25,49.83,2.01
2013,United Kingdom,6.73,5.77,5.18,17.34,19.3,51.12,1.96
2013,Luxembourg,6.72,4.95,5.02,20.19,19.93,42.12,2.37
2013,Malaysia,6.71,6.09,4.17,16.41,24.01,53.16,1.88
2013,New Zealand,6.4,6.73,6.01,14.87,16.65,55.04,1.82
2013,Costa Rica,6.35,7.91,11.45,12.64,8.73,86.52,1.16
2013,Netherlands,6.31,5.84,6.33,17.11,15.81,48.29,2.07
2013,Cyprus,6.25,6.07,4.54,16.47,22.05,53.73,1.86
2013,Switzerland,6.2,4.23,4.17,23.66,24.01,37.8,2.65
2013,Turkey,6.19,6.46,7.21,15.48,13.87,81.79,1.22
2013,Iceland,5.97,7.89,6.89,12.67,14.51,59.9,1.67
2013,Kuwait,5.92,7.44,5.92,13.44,16.9,46.87,2.13
2013,Jamaica,5.77,10.85,12.98,9.21,7.7,96.31,1.04
2013,Mexico,5.65,6.36,6.63,15.71,15.08,74.65,1.34
2013,Qatar,5.5,6.8,8.85,14.71,11.3,43.54,2.3
2013,Ireland,5.27,5.98,6.32,16.73,15.81,40.59,2.46
2013,Canada,5.08,5.58,6.47,17.93,15.45,36.64,2.73
2013,Germany,4.78,5,5.55,20,18.01,34.73,2.88
2013,United Arab Emirates,4.21,9.62,10.12,10.4,9.88,39.16,2.55
2013,Puerto Rico,4.05,6.48,7.89,15.44,12.68,34.8,2.87
2013,Bahrain,3.47,11.83,10.51,8.46,9.51,35.52,2.82
2013,South Africa,3.21,8.94,8.31,11.19,12.04,34.64,2.89
2013,Saudi Arabia,3.11,6.1,5.15,16.39,19.4,22.59,4.43
2013,Oman,3.01,9.39,10.25,10.65,9.75,27.98,3.57
2014,El Salvador,42.41,3.51,1,28.48,100,596.27,0.17
2014,Georgia,32.31,5.32,1.79,18.8,55.85,450.31,0.22
2014,Syria,29.11,3.94,4.31,25.4,23.2,317.54,0.31
2014,Hong Kong,27.06,3.02,3.17,33.16,31.51,174.02,0.57
2014,China,26.13,2.89,3.22,34.57,31.02,226.14,0.44
2014,Uganda,23.03,2.33,12.19,42.97,8.2,297.87,0.34
2014,Singapore,22.59,3.83,4.22,26.11,23.7,142.16,0.7
2014,Nepal,21.28,1.97,2.71,50.73,36.83,253.71,0.39
2014,Iran,20.63,5.04,5.62,19.86,17.8,440.04,0.23
2014,Ghana,20.41,11.56,13.25,8.65,7.54,503.91,0.2
2014,Venezuela,20.19,8.64,7.65,11.58,13.07,296.96,0.34
2014,Armenia,19.28,5.61,5.8,17.81,17.25,279.29,0.36
2014,Thailand,19.07,4.73,3.85,21.12,26.01,166.13,0.6
2014,Indonesia,18.79,5.77,5.2,17.32,19.22,200.47,0.5
2014,Philippines,18.78,3.65,3.31,27.42,30.2,220.91,0.45
2014,Algeria,18.61,3.17,4.37,31.56,22.89,151.12,0.66
2014,Ethiopia,18.57,12.83,11.76,7.79,8.51,237.63,0.42
2014,Lebanon,18.3,3.96,6,25.23,16.67,155.77,0.64
2014,Cambodia,18.24,9.16,6.35,10.92,15.74,214.1,0.47
2014,Vietnam,17.78,5.59,6.85,17.9,14.6,237.72,0.42
2014,Moldova,17.73,5.35,5.58,18.71,17.92,271.29,0.37
2014,Morocco,17.57,5.47,4.41,18.28,22.69,155.11,0.64
2014,Taiwan,17.33,1.59,2.53,63.02,39.52,105.33,0.95
2014,Serbia,16.86,3.05,3.33,32.84,30.04,160.94,0.62
2014,Belarus,16.81,4.71,5.13,21.24,19.47,556.65,0.18
2014,Azerbaijan,16.59,8.74,11.19,11.44,8.94,190.52,0.52
2014,North Macedonia,16.18,3.64,3.73,27.49,26.81,172.64,0.58
2014,Montenegro,16.03,3.06,3.23,32.65,30.95,185.22,0.54
2014,Ukraine,15.95,5.67,6.25,17.62,16,301.69,0.33
2014,Brazil,14.96,4.44,4.59,22.5,21.8,178.83,0.56
2014,Peru,14.82,4.72,5.34,21.2,18.73,172.1,0.58
2014,Albania,14.76,3.78,5.37,26.43,18.62,146.24,0.68
2014,Russia,14.67,7.1,6.49,14.09,15.4,211.44,0.47
2014,Colombia,14.23,5.32,5.3,18.79,18.87,191.96,0.52
2014,Pakistan,13.92,3.23,3.53,30.97,28.31,212.14,0.47
2014,Nigeria,13.86,4.84,5.14,20.66,19.45,273.89,0.37
2014,Trinidad And Tobago,13.38,8.91,3.56,11.22,28.06,138.22,0.72
2014,Croatia,13.37,2.87,3.23,34.89,30.99,121.41,0.82
2014,Romania,13.24,4.81,4.83,20.8,20.71,130.21,0.77
2014,Lithuania,12.91,4.04,4.06,24.76,24.61,94.66,1.06
2014,Israel,12.83,3.6,3.73,27.74,26.82,92.6,1.08
2014,Latvia,12.71,3.84,5.64,26.03,17.74,91.93,1.09
2014,Ecuador,12.7,8.54,7.49,11.71,13.35,129.67,0.77
2014,Mauritius,12.4,3.98,3.68,25.13,27.2,132.73,0.75
2014,Sri Lanka,12.39,6.71,3.72,14.91,26.87,197.99,0.51
2014,Italy,12.15,2.83,3.55,35.38,28.18,98.44,1.02
2014,Bosnia And Herzegovina,11.97,2.98,3.25,33.55,30.81,114.57,0.87
2014,Greece,11.74,3.4,3.41,29.45,29.37,93.91,1.06
2014,Uruguay,11.6,5.85,6.47,17.09,15.46,125.44,0.8
2014,Poland,11.37,4.43,4.79,22.56,20.86,94.62,1.06
2014,South Korea,11.35,3.19,4.14,31.31,24.15,86.32,1.16
2014,Kazakhstan,11.35,6.87,7.45,14.56,13.42,164.92,0.61
2014,Tunisia,11.12,5.34,6.54,18.73,15.29,118.19,0.85
2014,Egypt,11.09,7.36,8.22,13.59,12.17,129.33,0.77
2014,Slovenia,11.09,3.91,3.98,25.58,25.13,92.12,1.09
2014,Bangladesh,11.04,4.26,3.87,23.46,25.85,197.32,0.51
2014,Spain,10.45,3.71,4.36,26.97,22.92,73.57,1.36
2014,Czech Republic,10.43,4.03,4.56,24.81,21.95,74.09,1.35
2014,France,10.32,2.83,3.91,35.33,25.61,73.05,1.37
2014,Dominican Republic,10.3,4.71,9,21.25,11.12,165.07,0.61
2014,Estonia,10.19,4.77,5.31,20.95,18.82,69.39,1.44
2014,India,10.16,3.34,3.94,29.9,25.36,126.43,0.79
2014,Bulgaria,9.87,5.44,5.81,18.38,17.22,101.23,0.99
2014,Panama,9.73,10.95,8.24,9.13,12.14,83.19,1.2
2014,Hungary,9.63,3.91,4.25,25.57,23.51,101.62,0.98
2014,Slovakia,9.51,6.23,6.02,16.05,16.62,73.29,1.36
2014,Chile,9.45,5.08,4.56,19.69,21.95,76.29,1.31
2014,Sweden,9.41,2.6,3.33,38.46,29.99,65.03,1.54
2014,Kenya,9.33,14.51,7.86,6.89,12.73,159.98,0.63
2014,Zimbabwe,9.26,9.42,10.08,10.62,9.92,246.67,0.41
2014,Austria,9.17,3.49,3.81,28.69,26.26,63.91,1.56
2014,Malta,9.1,2.53,4.42,39.55,22.61,63.89,1.57
2014,Honduras,9,5.59,7.14,17.9,14.01,124.13,0.81
2014,Iraq,8.98,8.78,8.9,11.39,11.23,113.67,0.88
2014,Argentina,8.95,4.62,4.77,21.65,20.98,186.31,0.54
2014,Bolivia,8.58,7.28,6.9,13.73,14.48,85.57,1.17
2014,Portugal,8.41,5.84,6.49,17.13,15.4,62.51,1.6
2014,Japan,8.34,4.06,3.28,24.64,30.47,50.36,1.99
2014,Malaysia,8.04,5.01,4.68,19.97,21.37,63.97,1.56
2014,Guatemala,8.04,8.05,9.19,12.43,10.88,93.07,1.07
2014,Jordan,7.95,7.39,7.18,13.53,13.93,81.47,1.23
2014,Finland,7.83,3.61,4.4,27.68,22.72,49.2,2.03
2014,Luxembourg,7.75,4.84,4.7,20.66,21.25,48.42,2.07
2014,United Kingdom,7.74,4.7,5.16,21.26,19.39,57.65,1.73
2014,Australia,7.44,5.15,5.46,19.42,18.3,64.46,1.55
2014,Norway,7.42,4.62,4.99,21.66,20.03,52.74,1.9
2014,Iceland,7.15,7.72,7.22,12.96,13.86,69.6,1.44
2014,Cyprus,7.07,4.96,4.7,20.17,21.27,62.7,1.59
2014,Switzerland,7.05,3.61,3.6,27.69,27.78,42.72,2.34
2014,Bahrain,6.92,10.7,8.82,9.34,11.34,69.5,1.44
2014,Costa Rica,6.88,8.78,8.63,11.38,11.59,95.39,1.05
2014,Turkey,6.86,5.81,6.93,17.2,14.43,90.4,1.11
2014,Kuwait,6.78,6.72,5.43,14.89,18.42,54.93,1.82
2014,Mozambique,6.59,17.55,14.82,5.7,6.75,140.56,0.71
2014,Mexico,6.47,6.36,5.32,15.72,18.8,80.58,1.24
2014,Denmark,6.37,4.5,4.73,22.2,21.13,44.5,2.25
2014,Netherlands,6.08,5.72,5.83,17.48,17.16,46.27,2.16
2014,Belgium,5.98,5.49,6.09,18.21,16.43,43.19,2.32
2014,Ireland,5.74,5.87,5.69,17.05,17.58,43.33,2.31
2014,Qatar,5.72,9.71,6.49,10.3,15.4,45.36,2.2
2014,Germany,5.6,4.51,4.78,22.17,20.91,37.98,2.63
2014,Canada,5.57,5.54,6.06,18.05,16.51,38.7,2.58
2014,Bahamas,5.47,5.55,7.52,18.03,13.3,60.48,1.65
2014,New Zealand,5.3,6.77,7.89,14.78,12.67,44.44,2.25
2014,United Arab Emirates,5.26,8.75,10.38,11.43,9.63,45.48,2.2
2014,Puerto Rico,5.1,5.2,6.8,19.24,14.7,41.82,2.39
2014,Libya,4.83,17.43,13.52,5.74,7.4,47.01,2.13
2014,Angola,4.54,33.49,17.58,2.99,5.69,71.69,1.39
2014,Jamaica,3.87,9.15,15.66,10.93,6.39,55.16,1.81
2014,South Africa,3.45,9.13,9.03,10.95,11.08,36.95,2.71
2014,Saudi Arabia,3.25,6.63,6.24,15.08,16.01,24.29,4.12
2014,Namibia,3.22,26.12,30.07,3.83,3.33,37.49,2.67
2014,Oman,2.95,11.18,12.46,8.94,8.02,26.71,3.74
2014,United States,2.43,11.01,12.58,9.08,7.95,17.99,5.56
2015,Uganda,31.13,1.86,10.02,53.7,9.98,649.36,0.15
2015,Syria,30.49,3.95,3.15,25.33,31.75,283.67,0.35
2015,Hong Kong,30.09,2.67,2.77,37.49,36.08,192.99,0.52
2015,Myanmar,26.84,8.47,2.95,11.81,33.92,317.96,0.31
2015,Ghana,26.62,10.77,13.45,9.28,7.44,670.38,0.15
2015,China,26.42,2.78,3,35.94,33.33,230.62,0.43
2015,El Salvador,25.44,5.3,1.66,18.88,60.3,336.09,0.3
2015,Taiwan,24.97,1.4,1.8,71.43,55.54,152.28,0.66
2015,Vietnam,23.92,5.17,7.64,19.33,13.09,285.6,0.35
2015,Venezuela,22.23,12.49,9.27,8.01,10.79,333.43,0.3
2015,Mauritius,22.13,2.21,2.41,45.26,41.48,228.83,0.44
2015,Singapore,21.41,3.42,3.89,29.24,25.69,133.27,0.75
2015,Cambodia,21.11,10.78,7.85,9.28,12.74,232.05,0.43
2015,Algeria,20.91,2.7,3.4,36.98,29.38,161.45,0.62
2015,Iran,20.78,5.05,5.53,19.81,18.09,468.12,0.21
2015,Thailand,20.76,3.93,3.22,25.45,31.06,179.53,0.56
2015,Nepal,19.74,2.61,2.84,38.26,35.16,257.35,0.39
2015,Indonesia,18.93,6.24,5.74,16.02,17.43,217.37,0.46
2015,Philippines,18.52,3.1,2.65,32.25,37.7,198.55,0.5
2015,Ukraine,17.38,5.96,5.88,16.78,17.02,349.26,0.29
2015,Moldova,17.07,5.18,5.68,19.32,17.59,267.28,0.37
2015,Serbia,17.07,2.81,3.15,35.59,31.78,155.29,0.64
2015,Kenya,16.75,8.34,4.12,11.99,24.25,287.29,0.35
2015,Brazil,16.7,4.23,4.32,23.65,23.14,200.64,0.5
2015,Kosovo (Disputed Territory),16.7,6.4,7.2,15.62,13.89,234.72,0.43
2015,Belarus,16.36,5.46,5.23,18.33,19.13,545.46,0.18
2015,Peru,16.27,6.03,6.5,16.59,15.39,189.76,0.53
2015,Lebanon,16.21,4,5.73,25,17.46,143.71,0.7
2015,Azerbaijan,16.19,7.7,9,12.99,11.11,185.65,0.54
2015,Morocco,16.12,4.76,3.6,20.99,27.78,135.99,0.74
2015,Montenegro,16.07,3.06,3.23,32.71,30.97,170.18,0.59
2015,North Macedonia,15.38,3.46,3.51,28.93,28.47,148.07,0.68
2015,Ethiopia,15.37,11.96,7.67,8.36,13.04,174.95,0.57
2015,Georgia,15.17,6.78,6.6,14.76,15.16,208.57,0.48
2015,Ecuador,14.67,7.02,6.42,14.24,15.57,167.68,0.6
2015,Uzbekistan,14.67,6.8,6.74,14.7,14.83,277.47,0.36
2015,Russia,14.6,6.87,6.46,14.56,15.48,209.95,0.48
2015,Albania,14.58,3.5,5.33,28.59,18.78,138.43,0.72
2015,Colombia,14.35,6.07,5.51,16.47,18.15,188.58,0.53
2015,Pakistan,14.32,3.03,3.54,33.02,28.26,218.22,0.46
2015,Sri Lanka,14.29,7.89,3.7,12.67,26.99,226.12,0.44
2015,Zimbabwe,14.11,6.53,4.88,15.32,20.5,405.98,0.25
2015,Armenia,13.39,6.55,5.33,15.28,18.75,197.43,0.51
2015,Lithuania,12.87,4.12,4.1,24.25,24.42,87.49,1.14
2015,Kazakhstan,12.73,5.86,5.55,17.08,18.01,186.69,0.54
2015,Bosnia And Herzegovina,12.5,3.16,3.1,31.69,32.28,123.72,0.81
2015,Croatia,12.48,3.08,3.42,32.51,29.23,109.97,0.91
2015,Botswana,12.43,8.36,1.98,11.96,50.4,159.07,0.63
2015,Latvia,12.19,3.85,4.63,25.94,21.59,83.51,1.2
2015,Romania,11.81,4.8,4.84,20.84,20.67,108.96,0.92
2015,Italy,11.69,2.82,3.56,35.46,28.06,94.06,1.06
2015,Estonia,11.65,4.21,4.35,23.76,22.98,78.12,1.28
2015,Argentina,11.59,3.63,3.75,27.58,26.64,231.65,0.43
2015,Dominican Republic,11.45,6,7.8,16.68,12.82,171.89,0.58
2015,Egypt,11.33,7.49,7.94,13.35,12.59,132.27,0.76
2015,Uruguay,11.23,5.59,5.92,17.89,16.9,108.51,0.92
2015,South Korea,11.01,3.34,3.76,29.95,26.61,83.32,1.2
2015,Bangladesh,10.9,3.74,4.29,26.75,23.31,194.01,0.52
2015,Tunisia,10.85,5.92,5.85,16.88,17.09,109.26,0.92
2015,Chile,10.84,4.4,5.34,22.71,18.74,87.73,1.14
2015,Panama,10.79,11.56,6.98,8.65,14.33,88.77,1.13
2015,Nigeria,10.74,10.74,3.43,9.31,29.17,205.19,0.49
2015,Israel,10.72,3.36,3.83,29.76,26.08,68.86,1.45
2015,Palestine,10.62,3.01,3.25,33.23,30.78,84.14,1.19
2015,Slovenia,10.61,3.62,3.78,27.61,26.43,79.56,1.26
2015,Czech Republic,10.59,3.97,4.75,25.16,21.05,71.37,1.4
2015,Poland,10.56,4.42,4.64,22.62,21.55,83.11,1.2
2015,Bolivia,10.33,6.15,5.41,16.26,18.48,94.54,1.06
2015,India,10.06,3.3,3.91,30.33,25.55,124.36,0.8
2015,Trinidad And Tobago,10.01,18.35,3.4,5.45,29.38,95.48,1.05
2015,Nicaragua,10,8.24,7.84,12.14,12.75,153.6,0.65
2015,France,9.7,3.18,3.92,31.44,25.48,66.73,1.5
2015,Greece,9.67,3.57,3.54,27.99,28.21,75.32,1.33
2015,Austria,9.6,2.95,3.66,33.95,27.3,64.32,1.55
2015,Spain,9.56,3.95,4.48,25.34,22.32,66.42,1.51
2015,Bulgaria,9.42,5.54,6,18.06,16.66,92.96,1.08
2015,Guatemala,9.29,7.17,7.55,13.95,13.25,101.72,0.98
2015,Sweden,9.25,2.82,3.18,35.46,31.49,61.85,1.62
2015,Japan,9.24,3.58,3.32,27.94,30.09,55.84,1.79
2015,Iraq,8.89,8.38,9.69,11.93,10.32,93.25,1.07
2015,United Kingdom,8.63,4.11,4.58,24.32,21.82,63.43,1.58
2015,Hungary,8.58,4.66,5.1,21.47,19.6,84.03,1.19
2015,Jordan,8.58,6.92,7.39,14.46,13.54,87.47,1.14
2015,Slovakia,8.58,6.23,6.64,16.04,15.05,61.09,1.64
